,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
139,守门员面对罚点球时的焦虑[45.00](1),达洛卫夫人（译文名著精选[18.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
140,全新法语语法350练习与指导（中级）（全新法语语法350练习与指导）[39.00](1),全新法语语法350练习与指导（初级[45.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
141,传习录[39.00](1),周易辞典（修订本）[138.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
142,性经验史第三卷：自我的关心[58.00](1),鼠疫（加缪作品）[45.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
143,秦汉史[168.00](1),隋唐五代史（上下册）[188.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
144,中世纪音乐[138.00](1),古典音乐—海顿.莫扎特与贝多芬的时代[148.00](1),歌词文化鉴赏教程[60.00](1),音乐美学基础[50.00](1),,,,,,,,,,,,,,,,,,,,,,,
145,名校名师 高考英语作文全攻略（第2版）[49.80](1),名校名师 高考英语考纲词汇全攻略（第2版）[59.80](1),,,,,,,,,,,,,,,,,,,,,,,,,
146,他改变了中国：江泽民传[59.00](1),杰森·伯恩之谍影重重（共四本）[202.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
147,潮骚[35.00](1),纯真博物馆[65.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
148,一九八四（译文名著精选[23.00](1),月亮和六便士（译文经典.精[36.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
149,西方音乐1500年（全二册CD10张[318.00](1),辛丰年音乐文集[318.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
150,小学牛津英语词汇学习手册[25.00](1),小学英语拓展阅读 3A[25.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
151,汉英大词典（第三版[238.00](1),英汉大词典（第二版[228.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
152,忠贞之夜[49.00](1),我深爱我们一起相处的这些夜晚:美国当代诗选[48.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
153,上海的红颜遗事[50.00](1),上海的风花雪月[68.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
154,且听风吟[38.00](1),世界尽头与冷酷仙境[52.00](1),垮掉的一代（译文经典 精[36.00](1),失乐园（译文名著精选[39.00](1),德米安：彷徨少年时[29.00](1),我是猫（夏目漱石作品系列[50.00](1),荒原狼（译文经典·精装）[42.00](1),雾都孤儿（译文40[36.00](1),,,,,,,,,,,,,,,,,,,
155,新课程小学语文知识分项提高训练.三年级（田老师教语文）[32.00](1),新课程小学语文知识分项提高训练.四年级（田老师教语文）[32.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
156,作为意欲和表象的世界（第2卷）[198.00](1),性经验史[默认规格](1),,,,,,,,,,,,,,,,,,,,,,,,,
157,乐府诗集（全二册（国学典藏[120.00](1),周易（国学典藏[48.00](1),孙子（国学典藏[28.00](1),孝经（国学典藏[20.00](1),尚书（国学典藏[34.00](1),山海经（国学典藏[48.00](1),李煜词集（附李璟词集、冯延巳词集（国学典藏[26.00](1),玉台新咏（国学典藏[56.00](1),,,,,,,,,,,,,,,,,,,
158,孙子兵法1[26.00](1),孙子兵法2[29.00](1),篆刻五十讲(增订本)[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,
159,神文时代:谶纬、术数与中古政治研究[128.00](1),酒经译注（中国古代科技名著译注丛书[20.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
160,才女之累：李清照及其接受史（海外汉学丛书[78.00](1),杜甫:中国最伟大的诗人[78.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
161,霍比特人:精装插图本[78.00](1),魔戒:插图本[179.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
162,不能承受的生命之轻（新版）[62.00](1),地球上最后的夜晚[52.00](1),小径分岔的花园（博尔赫斯全集）[35.00](1),美学散步（彩图本[98.00](1),面纱（毛姆文集）[48.00](1),,,,,,,,,,,,,,,,,,,,,,
163,我的名字叫红[59.00](1),月球[49.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
164,不能承受的生命之轻（新版）[62.00](1),另一个，同一个（博尔赫斯全集）[48.00](1),地球上最后的夜晚[52.00](1),小径分岔的花园（博尔赫斯全集）[35.00](1),深沉的玫瑰（博尔赫斯全集）[38.00](1),,,,,,,,,,,,,,,,,,,,,,
